year,title,artist,number
2015,금요일에 만나요 (Feat. 장이정 Of HISTORY) ,아이유,4369827
2015,우리 사랑하지 말아요 ,BIGBANG (빅뱅),5807274
2015,오빠차 ,인크레더블,5818522
2015,Oasis (Feat. ZICO) ,Crush,5771304
2015,또 운다 또 ,다비치,5555751
2015,LOVE ME RIGHT ,EXO,5721440
2015,어깨 ,소유 (SOYOU),7858989
2015,LUV ,Apink (에이핑크),5473905
2015,바라보기 ,엠씨더맥스 (M.C the MAX),5482064
2015,사랑 범벅 (Feat. 챈슬러 of the channels) ,MC몽,5610343
2015,광화문에서 (At Gwanghwamun) ,규현 (KYUHYUN),5458267
2015,My Type (Prod. By 버벌진트) ,제시 (Jessi),5592623
2016,CHEER UP ,TWICE (트와이스),8158031
2016,시간을 달려서 (Rough) ,여자친구 (GFRIEND),8028701
2016,어디에도 ,엠씨더맥스 (M.C the MAX),8033528
2016,널 사랑하지 않아 ,어반자카파,8199190
2016,이 사랑 ,다비치,8071102
2016,이 소설의 끝을 다시 써보려 해 ,한동근,5398990
2016,너는 나 나는 너 ,지코 (ZICO),8028724
2016,You Are My Everything ,거미,8089568
2016,OOH-AHH하게 ,TWICE (트와이스),7891119
2016,걱정말아요 그대 ,이적,7921208
2016,또 다시 사랑 ,임창정,7861392
2016,잊어버리지마 (Feat. 태연) ,Crush,8026677
2016,내가 저지른 사랑 ,임창정,9631530
2016,D (half moon) (Feat. 개코) ,DEAN,8109412
2016,넌 is 뭔들 ,마마무 (Mamamoo),8068881
2016,하늘바라기 (Feat. 하림) ,정은지,8148487
2016,우주를 줄게 ,볼빨간사춘기,9620469
2016,Boys And Girls (Feat. Babylon) ,지코 (ZICO),7911687
2016,ALWAYS ,윤미래,8053157
2016,오늘부터 우리는 (Me Gustas Tu) ,여자친구 (GFRIEND),5791706
2016,Day Day (Feat. 박재범) (Prod. by GRAY) ,BewhY (비와이),8261338
2016,Why So Lonely ,원더걸스,8254545
2016,돌아오지마 (Feat. 용준형 Of 비스트) ,헤이즈 (Heize),8143111
2016,Dream (Prod. by 박근태) ,수지 (Suzy),8005879
2016,봄이 좋냐?? ,10CM,8124417
2016,말해! 뭐해? ,케이윌,8102386
2016,Everytime ,첸 (CHEN),8067023
2016,Rain ,태연 (TAEYEON),8042553
2016,Forever (Prod. By GRAY) ,BewhY (비와이),8252408
2016,너 그리고 나 (NAVILLERA) ,여자친구 (GFRIEND),8262125
2016,한숨 ,이하이,8086947
2016,휘파람 ,BLACKPINK,8304594
2016,소녀 ,오혁,7942948
2016,그대라는 사치 ,한동근,9614761
2016,TT ,TWICE (트와이스),30054344
2016,유레카 (Feat. Zion.T) ,지코 (ZICO),7965449
2016,또 하루 (Feat. 개코) ,개리,7999021
2016,목요일 밤 (Feat. 빈지노) ,어반자카파,9613173
2016,쏘쏘 ,백아연,8189661
2016,다시 너를 ,매드클라운,8100402
2016,너였다면 ,정승환,8203900
2016,꿈처럼 ,벤,8174429
2016,러시안 룰렛 (Russian Roulette) ,Red Velvet (레드벨벳),9634954
2016,안아줘 ,정준일,3620493
2016,puzzle ,C JAMM,8308231
2016,I Like That ,씨스타,8236055
2016,숨 ,박효신,30011624
2016,The Time Goes On ,BewhY (비와이),5620266
2016,스토커 ,10CM,5466962
2016,니가 알던 내가 아냐 (Prod. By GRAY) ,사이먼 도미닉,8233291
2017,첫눈처럼 너에게 가겠다 ,에일리(Ailee),30190630
2017,밤편지 ,아이유,30314784
2017,좋니 ,윤종신,30486509
2017,좋다고 말해 ,볼빨간사춘기,30163110
2017,Marry Me ,마크툽 (MAKTUB),4786735
2017,비도 오고 그래서 (Feat. 신용재) ,헤이즈 (Heize),30492279
2017,팔레트 (Feat. G-DRAGON) ,아이유,30378156
2017,Beautiful ,Crush,30157753
2017,오늘 취하면 (Feat. 창모) (Prod. SUGA) ,SURAN (수란),30390068
2017,KNOCK KNOCK ,TWICE (트와이스),30261007
2017,REALLY REALLY ,WINNER,30341745
2017,봄날 ,방탄소년단,30244931
2017,오랜 날 오랜 밤 ,AKMU (악뮤),30181278
2017,우주를 줄게 ,볼빨간사춘기,9620469
2017,나만 안되는 연애 ,볼빨간사춘기,9620473
2017,남이 될 수 있을까 ,볼빨간사춘기,30468654
